site,lat,long,DistCityCen_km,pdn300m,bld300m,bld.near,tre300m,imp300m,rod300m,rod30.300m,rod30near,dcores300m,dcores1000m
syr01,42.85546,-76.28797,23.7065914,20.26506424,788.6809407,190.6164463,0.83510834,1.174052358,388.8787922,0,1337.609013,6.988114033,2.193379515
syr02,43.06526,-76.29369,12.48744964,18.99511909,3973.960275,148.5963029,0.657353282,3.229028225,387.4370441,0,1361.35499,6.963324954,6.579205718
syr03,43.04535,-76.28335,11.35823315,1313.999512,17701.51451,107.7230174,0.833167493,18.15146637,1854.76536,0,464.6799805,6.982187883,18.78020627
syr04,43.02641,-76.27186,10.53440642,226.0996704,1134.021905,159.3190164,0.820870996,2.275018215,811.2709051,616.1317865,128.1321965,3.488424909,4.069975333
syr05,42.94224,-76.30079,16.82260191,23.29322052,775.5468447,271.1988628,0.482181013,0.047469605,0,0,980.9752194,13.95244155,10.34174352
syr06,42.90271,-76.17846,15.59963434,5.605762005,2656.269351,62.65051232,0.89077425,2.876847744,706.8928597,566.0336981,110.9354086,6.972662388,5.949835925
syr07,42.96924,-76.07283,9.815428687,122.1358871,4712.939932,104.1646457,0.468304515,10.80583382,1769.43253,0,908.24804,34.88110388,9.081328516
syr08,42.99342,-76.08094,7.326347358,148.7942352,3557.172275,183.3081592,0.926531196,3.145970821,415.1543792,385.5972285,247.3085443,24.34452627,7.523264273
syr09,43.04499,-76.12591,1.525405212,4160.25293,26916.79189,71.17383007,0.576401651,37.71736908,3920.102678,449.3865254,226.7444171,27.98585095,38.85774092
syr10,43.0358,-76.12125,1.905881624,4649.849609,46490.92214,51.87283955,0.620628297,44.4893837,3697.94669,572.133163,98.58482671,69.87534122,23.79206948
syr11,42.96612,-76.26436,12.84371259,18.98253059,0,331.97537,0.900440753,6.27745830570348e-05,0,0,2044.938183,3.497033669,3.761841383
syr12,43.00274,-76.19917,6.173361185,765.7977295,11960.6997,54.46066134,0.477042168,25.5984745,1783.69343,0,353.9273378,6.959115071,7.835298187
syr13,42.98999,-76.14235,5.63759625,1136.972778,30248.74136,79.58355329,0.812573612,27.62918091,2841.415906,548.2450311,151.8824242,6.991102832,8.144421221
syr14,43.03442,-76.28078,11.16022412,1034.508545,28902.64908,67.08199862,0.66692251,26.47418594,2880.330991,0,554.5434186,24.36309571,18.77805937
syr15,43.03923,-76.25072,8.696576365,1240.200317,18206.18,62.74839835,0.648688734,19.82218361,2216.398269,0,424.5121695,34.8398558,15.3466432
syr16,42.99086,-76.16053,5.705640387,230.5781097,0,414.7208917,0.958847404,0.25498724,0,0,617.6312326,3.489314133,7.205174957
syr17,43.06596,-76.17358,3.712717149,26.90921783,54466.88054,116.2720373,0.181766227,71.06580353,4769.54157,408.6476295,110.351363,20.9485051,20.96683819
syr18,43.067,-76.13987,2.943412049,4348.409668,33390.04618,26.71953866,0.593535125,39.50051117,4199.04288,0,544.5160788,20.9485051,57.89350844
syr19,43.06201,-76.116,3.27143773,2930.84082,24628.81492,36.36635394,0.466253191,32.13612366,2393.43354,0,525.0256833,31.44678729,52.6180114
syr20,43.02809,-76.11454,2.754732077,1707.046753,14133.78571,40.84986117,0.503259718,25.59168434,2929.337367,339.7296201,249.3938961,27.91451307,12.53475513
syr21,42.95971,-76.06275,11.15488039,39.8965416,0,468.9717536,0.834646285,0,0,0,688.4768187,3.489891399,7.838427837
syr22,42.99817,-76.09835,5.996191987,183.5091553,0,341.3056852,1,0.08474163,0,0,403.9495535,3.496444277,12.82522288
syr23,42.89252,-76.30031,20.82627561,113.7473526,2969.27981,93.31123708,0.392560661,3.350632668,612.8184403,0,461.1528545,13.9595656,2.818278772
syr24,43.05682,-75.95998,15.03869836,26.47416115,3110.057551,144.3431221,0.78634274,4.439637184,2701.924613,0,312.6083635,3.482213011,5.007711485
syr25,43.04823,-75.98248,13.130697,70.04575348,132.612839,254.2061947,0.936029971,0.703966022,735.2676592,0,1049.585021,3.48309907,6.885131018
syr26,43.03243,-76.07617,5.567012078,901.928833,11545.36282,102.414241,0.606348932,16.40168762,1534.655942,0,475.2023287,3.480442244,11.29498399
syr27,43.03597,-76.09189,4.245578123,573.2730713,15337.38062,129.8600008,0.711035073,18.06175804,1470.106733,0,637.1014998,3.480442244,10.96414576
syr28,43.05653,-76.12798,2.178106813,2761.832275,32337.45649,87.75363513,0.710128665,39.46220016,3973.265614,0,478.6602731,45.25725623,47.00102783
syr29,42.92831,-75.98802,17.79190741,15.85750675,594.5876874,168.9496799,0.957874298,0.289067775,1188.572857,0,1342.151476,3.488110388,5.012684752
syr30,42.93663,-75.99872,16.522076,16.53103638,1301.09827,140.2992225,0.871861339,0.763944507,981.7590254,0,2612.561194,6.976220776,3.442197389
syr31,42.91478,-76.0776,14.99758503,36.09533691,456.3461775,144.8774732,0.998978734,0.263424069,443.4854394,0,2559.356654,3.489000667,3.13156433
syr32,43.01331,-76.10747,4.236737848,111.8315277,121.9131703,133.7207735,0.598562241,2.263915062,0,0,807.6349899,6.96619814,14.40507526
syr33,43.03045,-76.13707,1.259749113,757.6160889,2359.323896,197.5303715,0.741137564,8.342024803,0,0,352.4702758,10.48933283,29.7782239
syr34,43.05277,-76.09823,3.934194322,1213.341064,37268.12361,61.87573823,0.416912109,47.90129471,2694.25368,984.6687853,156.8959489,27.93587621,27.54178344
syr35,43.01577,-76.17062,3.528422691,1243.010742,16037.54007,95.44522177,0.698061585,17.86555672,1670.952251,0,428.7873931,13.90762443,16.29145212
syr36,42.99241,-76.13124,5.462598976,1166.772461,2768.484319,77.53130929,0.705628395,5.147412777,1191.467846,600.333608,232.9741471,13.97150227,9.698227852
syr37,43.03846,-76.18448,3.320962345,1156.823242,3578.31968,154.599398,0.436721593,8.634262085,2250.506267,559.1840958,86.04197532,20.95190716,29.41694196
syr38,42.88796,-76.28897,20.68932655,111.2601776,2272.620913,123.8617202,0.787401438,2.270625114,517.4332548,0,491.6261291,3.486026753,4.709395171
syr39,42.99394,-76.01031,12.02788256,135.2167664,229.6254991,265.9924986,0.998026073,0.029048748,0,0,343.052671,3.496444277,3.44225071
syr40,42.95744,-76.24949,12.63510289,34.54206848,1986.082364,115.3258598,0.512740612,1.327322602,608.6652334,0,2743.128634,3.494351895,5.321952512
syr41,43.04436,-76.00439,11.33108454,77.37064362,272.0125288,252.8926976,0.882451236,0.514936864,320.6300432,320.6300432,240.7088996,3.500020288,2.820642766
syr42,43.04473,-76.04932,7.685566039,217.2487793,2377.812749,139.454792,0.60122174,22.27976036,2709.791266,972.4128599,147.3482455,24.51267726,9.700223099
syr43,43.0284,-76.20926,5.498347214,832.4693604,11108.72896,49.80635454,0.819558263,13.18097973,1830.646795,521.2449012,225.137573,20.92521683,9.396979024
syr44,43.01598,-76.12959,2.977319613,1499.421143,25416.06874,34.8383305,0.518517137,29.24764061,2593.526235,0,532.5463133,17.48222139,25.66041438
syr45,42.9113,-76.11499,14.57518469,155.5185699,5478.257005,28.93158075,0.46273914,17.35977936,2095.329493,1527.962677,46.83915816,27.97626935,7.524200415
syr46,42.96928,-76.19298,8.892222698,56.4294548,5942.520819,16.35510737,0.637317121,3.235206604,720.3705106,0,1916.790666,27.85512911,4.698422831
syr47,42.92722,-76.03021,15.63453231,38.97623825,2596.475475,125.0481732,0.795568466,2.702658892,821.0948697,455.0140177,200.3805369,6.96555649,8.139270385
